Text;Scene;Summary;Description_passage;Analepsis;Prolepsis;Extradiegetic;Intradiegetic;Metadiegetic;Focalization;Voice_homodiegetic;Voice_heterodiegetic
"I, James Phillips, stood with my back to the fire, smoking and  
puzzling over it.  It was worth all the headlines the newspapers 
had  
given it; there was no loophole to the mystery. ";1;0;0;0;0;0;1;0;0;0;0
"Both sides of the Atlantic knew Silas J. Ford.  He had established
 a  
business reputation in America that had made him a celebrity in  
England from the day he stepped off the liner.  Once in London his
  
syndicates and companies and consolidations had startled the  
slow-moving British mind.  The commercial sky of the United 
Kingdom  
was overshadowed by him and his schemes.  The papers were full of
  
praise and blame, of puffs and denunciations.  He was a 
millionaire;  
he was on the verge of a smash that would paralyze the markets of 
the  
world.  He was an abstainer, a drunkard, a gambler, a most 
religious  
man.  He was a confirmed bachelor, a woman hater; his engagement 
was  
to be announced shortly.  So was the gossip kept rolling with the
  
limelight always centred upon the spot where Silas J. Ford 
happened  
to be standing.  
  
And now he had disappeared, vanished, evaporated.  
  
On the night of December 18, a Thursday, he had left London for  
Meudon Hall, the fine old Hampshire mansion that he had rented 
from  
Lord Beverley.  The two most trusted men in his office accompanied
  
him.  Friday morning he had spent with them; but at three o'clock 
the  
pair had returned to London, leaving their chief behind.  From 
four  
to seven he had been shut up with his secretary.  It was a hard 
time  
for every one, a time verging upon panic, and at such times Silas 
J.  
Ford was not an idle man.  
  
At eight o'clock he had dined.  His one recreation was music, and
  
after the meal he had played the organ in the picture gallery for 
an  
hour.  At a quarter past eleven he retired to his bedroom, 
dismissing  
Jackson, his body servant, for the night.";0;1;0;0;0;1;0;0;0;0;0
"Three-quarters of an 
hour  
later, however, Harbord, his secretary, had been called to the  
private telephone, for Mr. Ford had brought an extension wire from
  
the neighboring town of Camdon.  It was a London message, and so  
urgent that he decided to wake his chief.  There was no answer to 
his  
knock, and on entering the room he found that Mr. Ford was not in
  
bed.  He was surprised, but in no way suspicious, and started to  
search the house.  He was joined by a footman, and, a little 
later,  
by Jackson and the butler.  Astonishment changed to alarm.  Other
  
servants were roused to aid in the quest.  Finally, a party, 
provided  
with lanterns from the stables, commenced to examine the grounds.
  
  
Snow had fallen early in the day, covering the great lawns in 
front  
of the entrance porch with a soft white blanket, about an inch in
  
thickness.  It was the head groom who struck the trail.  
Apparently  
Mr. Ford had walked out of the porch, and so over the drive and  
across the lawn toward the wall that bounded the public road.  
This  
road, which led from Meudon village to the town of Camdon, crossed
  
the front of Meudon Hall at a distance of some quarter of a mile.
  
  
There was no doubt as to the identity of the footprints, for Silas
  
Ford affected a broad, square-toed boot, easily recognizable from 
its  
unusual impression.  
  
They tracked him by their lanterns to the park wall, and there all
  
trace of him disappeared.  The wall was of rough stone, easily  
surmountable by an active man.  The snow that covered the road  
outside had been churned into muddy paste by the traffic of the 
day;  
there were no further footprints observable. ";1;0;0;0;0;0;1;0;0;0;0
"The party returned to the house in great bewilderment.  The 
telephone  
to London brought no explanation, and the following morning Mr.  
Harbord caught the first train to town to make inquiries.  For  
private reasons his friends did not desire publicity for the 
affair,  
and it was not until the late afternoon, when all their  
investigations had proved fruitless, that they communicated with  
Scotland Yard.  When the papers went to press the whereabouts of 
the  
great Mr. Ford still remained a mystery.";0;1;0;0;0;1;0;0;0;0;0
"In keen curiosity I set off up the stairs to Inspector Peace's 
room.  
Perhaps the little detective had later news to give me.  
  
I found him standing with his back to the fire puffing at his  
cigarette with a plump solemnity.  A bag, neatly shaped, lay on 
the  
rug at his feet.  He nodded a welcome, watching me over his 
glasses.  
  
""I expected you, Mr. Phillips,"" he said.  ""And how do you explain 
it?""  
  
""A love affair or temporary insanity,"" I suggested vaguely.  
  
""Surely we can combine those solutions,"" he smiled.  ""Anything 
else?""  
  
""No.  I came to ask your opinion.""  
  
""My mind is void of theories, Mr. Phillips, and I shall endeavor 
to  
keep it so for the present.  If you wish to amuse yourself by  
discussing possibilities, I would suggest your consideration of 
the  
reason why, if he wanted to disappear quietly, he should leave so
  
obvious a track through the snow of his own lawn.  For myself, as 
I  
am leaving for Camdon via Waterloo Station in ten minutes, I shall
  
hope for more definite data before night.""  
  
""Peace,"" I asked him eagerly, ""may I come with you?""  
  
""If you can be ready in time,"" he said.  
  
It was past two o'clock when we arrived at the old town of Camdon.
  A  
carriage met us at the station.  Five minutes more and we were 
clear  
of the narrow streets and climbing the first bare ridge of the 
downs.  
It was a desolate prospect enough--a bare expanse of wind-swept 
land  
that rose and fell with the sweeping regularity of the Pacific 
swell.  
Here and there a clump of ragged firs showed black against the 
snow.  
Under that gentle carpet the crisp turf of the crests and the 
broad  
plow lands of the lower ground alike lay hidden.  I shivered, 
drawing  
my coat more closely about me.  
  
It was half an hour later that we topped a swelling rise and saw 
the  
gray towers of the ancient mansion beneath us.  In the shelter of 
the  
valley by the quiet river, that now lay frozen into silence, the  
trees had grown into splendid woodlands, circling the hall on the
  
further side.  From the broad front the white lawns crept down to 
the  
road on which we were driving.  Dark masses of shrubberies and the
  
tracery of scattered trees broke their silent curves.  The park 
wall  
that fenced them from the road stood out like an ink line ruled 
upon  
paper.  
  
""It must have been there that he disappeared,"" I cried, with a  
speculative finger.  
  
""So I imagine,"" said Peace.  ""And if he has spent two nights on 
the  
Hampshire downs, he will be looking for a fire to-day.  You have  
rather more than your fair share of the rug, Mr. Phillips, if you
  
will excuse my mentioning it.""  
  
A man was standing on the steps of the entrance porch when we 
drove  
up.  As we unrolled ourselves he stepped forward to help us.  He 
was  
a thin, pale-faced fellow, with fair hair and indeterminate eyes.
  
  
""My name is Harbord,"" he said.  ""You are Inspector Addington 
Peace, I  
believe.""  
  
His hand shook as he stretched it out in a tremulous greeting.  
Plainly the secretary was afraid, visibly and anxiously afraid.  
  
""Mr. Ransome, the manager of Mr. Ford's London office, is here,"" 
he  
continued.  ""He is waiting to see you in the library.""  
  
We followed him through a great hall into a room lined with books
  
from floor to ceiling.  A stout, dark man, who was pacing it like 
a  
beast in a cage, stopped at the sight of us.  His face, as he 
turned  
it toward us, looked pinched and gray in the full light.  
  
""Inspector Peace, eh?"" he said.  ""Well, Inspector, if you want a  
reward, name it.  If you want to pull the house down, only say the
  
word.  But find him for us, or, by heaven, we're done.""  
  
""Is it as bad as that?""  
  
""You can keep a secret, I suppose.  Yes--it couldn't well be 
worse.  
It was a tricky time; he hid half his schemes in his own head; he
  
never trusted even me altogether.  If he were dead I could plan  
something, but now--""  
  
He thumped his hand on the table and turned away to the window.  
  
""When you last saw Mr. Ford was he in good health?  Did he stand 
the  
strain?""  
  
""Ford had no nerves.  He was never better in his life.""  
  
""In these great transactions he would have his enemies.  If his 
plans  
succeeded there would be many hard hit, perhaps ruined.  Have you 
any  
suspicion of a man who, to save himself, might make away with Mr.
  
Ford?""  
  
""No,"" said the manager after a moment's thought.  ""No, I can not 
give  
you a single name.  The players are all big men, Inspector.  I 
don't  
say that their consciences would stop them from trying such a 
trick,  
but it wouldn't be worth their while.  They hold off when jail is 
the  
certain punishment.""  
  
""Was this financial crisis in his own affairs generally known?""  
  
""Certainly not.""  
  
""Who would know of it?""  
  
""There might be a dozen men on both sides of the Atlantic who 
would  
suspect the truth.  But I don't suppose that more than four people
  
were actually in possession of the facts.""  
  
""And who would they be?""  
  
""His two partners in America, myself, and Mr. Harbord there.""  
  
Peace turned to the young man with a smile and a polite bow.  
  
""Can you add any names to the list?"" he asked.  
  
""No,"" said Harbord, staring at the detective with a puzzled look, 
as  
if trying to catch the drift of his questions.  
  
""Thank you,"" said the Inspector; ""and now will you show me the 
place  
where this curious disappearance occurred?""  
  
We crossed the drive, where the snow lay torn and trampled by the
  
carriages, and so to the white, even surface of the lawn.  We soon
  
struck the trail, a confused path beaten by many footprints.  
Peace  
stooped for a moment, and then turned to the secretary with an 
angry  
glance.  
  
""Were you with them?"" he said.  
  
""Yes.""  
  
""Then why, in the name of common sense, didn't you keep them off 
his  
tracks?  You have simply trampled them out of existence, between 
you.""  
  
""We were in a hurry, Inspector,"" said the secretary meekly.  ""We  
didn't think about it.""  
  
We walked forward, following the broad trail until we came to a  
circular patch of trodden snow.  Evidently the searchers had 
stopped  
and stood talking together.  On the further side I saw the 
footprints  
of a man plainly defined.  There were some half-dozen clear  
impressions and they ended at the base of the old wall, which was
  
some six feet in height.  
  
""I am glad to see that you and your friends have left me 
something,  
Mr. Harbord,"" said the Inspector.  
  
He stepped forward and, kneeling down, examined the nearest 
footprint.  
  
""Mr. Ford dressed for dinner?"" he inquired, glancing up at the  
secretary.  
  
""Certainly!  Why do you ask?""  
  
""Merely that he had on heavy shooting boots when he took this 
evening  
stroll.  It will be interesting to discover what clothes he wore.""
  
  
The Inspector walked up to the wall, moving parallel to the tracks
 in  
the snow.  With singular activity for his plump and unathletic 
figure  
he climbed to the top and seated himself while he stared about 
him.  
Then on his hands and knees he began to crawl forward along the  
coping.  It was a quaint spectacle, but the extraordinary care and
  
vigilance of the little man took the farce out of it.  
  
Presently he stopped and looked down at us with a gentle smile.  
  
""Please stay where you are,"" he said, and disappeared on the 
further  
side.  
  
Harbord offered me a cigarette, and we waited with due obedience 
till  
the Inspector's bullet-head again broke the horizon as he 
struggled  
back to his position on the coping of the wall.  
  
He seemed in a very pleasant temper when he joined us; but he said
  
nothing of his discoveries, and I had grown too wise to inquire.  
When we reached the entrance hall he asked for Jackson, the valet,
  
and in a couple of minutes the man appeared.  He was a tall,  
hatchet-faced fellow, very neatly dressed in black.  He made a 
little  
bow, and then stood watching us in a most respectful attitude.  
  
""A queer business this, Jackson,"" said Addington Peace.  
  
""Yes, sir.""  
  
""And what is your opinion on it?""  
  
""To be frank, sir, I thought at first that Mr. Ford had run away; 
but  
now I don't know what to make of it.""  
  
""And why should he run away?""  
  
""I have no idea, sir; but he seemed to me rather strange in his  
manner yesterday.""  
  
""Have you been with him long?""  
  
""No, sir.  I was valet to the Honorable John Dorn, Lord Beverley's
  
second son.  Mr. Ford took me from Mr. Dorn at the time he rented 
the  
Hall.""  
  
""I see.  And now will you show me your master's room?  I shall see
  
you again later, Mr. Harbord,"" he continued; ""in the meanwhile I 
will  
leave my assistant with you.""  
  
We sat and smoked in the secretary's room.  He was not much of a  
talker, consuming cigarette after cigarette in silence.  The 
winter  
dusk had already fallen when the Inspector joined us, and we 
retired  
to our rooms to prepare for dinner.  I tried a word with Peace 
upon  
the staircase, but he shook his head and walked on.  ";1;0;0;0;0;0;1;0;0;0;0
"The meal dragged itself to an end somehow, and we left Ransome 
with a  
second decanter of port before him.  Peace slipped away again, and
 I  
consoled myself with a book in the library until half-past ten, 
when  
I walked off to bed.  A servant was switching off the light in the
  
hall when I mounted the great staircase";0;1;0;0;0;1;0;0;0;0;0
"My room was in the old wing at the further side of the picture  
gallery, and I had some difficulty in steering my way through the
  
dark corridors.  The mystery that hung over the house had shaken 
my  
nerves, and I remember that I started at every creak of a board 
and  
peered into the shadows as I passed along with, Heaven knows, what
  
ghostly expectations.  I was glad enough to close my door upon 
them  
and see the wood fire blazing cheerfully in the open hearth.  
  
. . . . . . . . . . . .  
  
I woke with a start that left me sitting up in bed, with my heart
  
thumping in my ribs like a piston rod.  I am not generally a light
  
sleeper, but that night, even while I snored, my nerves were 
active.  
Some one had tapped at my door--that was my impression.  
  
I listened with the uncertain fear that comes to the newly waked.
  
Then I heard it again--on the wall near my head this time.  A 
board  
creaked.  Some one was groping his way down the dark corridor  
without.  Presently he stopped, and a faint line of illumination  
sprang out under my door.  It winked, and then grew still.  He had
  
lighted a candle.  
  
Assurance came with the streak of light.  What was he doing, 
groping  
in the dark, if he had a candle with him?  I crept over to the 
door,  
opened it, and stared cautiously out.  
  
About a dozen feet away a man was standing, a striking figure 
against  
the light he carried.  His back was toward me, but I could see 
that  
his hand was shading the candle from his eyes while he stared into
  
the shadows that clung about the further end of the corridor.  
  
Presently he began to move forward.  
  
The picture gallery and the body of the house lay behind.  The  
corridor in which he stood terminated in a window, set deep into 
the  
stone of the old walls.  The man walked slowly, throwing the light
 to  
right and left.  His attitude was of nervous expectation--that of 
a  
man who looked for something that he feared to see.  
  
At the window he stopped, staring about him and listening.  He  
examined the fastenings, and then tried a door on his right.  It 
was  
locked against him.  As he did so I caught his profile against the
  
light.  It was Harbord, the secretary.  From where I stood he was 
not  
more than forty feet away.  There was no possibility of a mistake.
  
  
As he turned to come back I retreated into my room, closing the 
door.  
The fellow was in a state of great agitation, and I could hear him
  
muttering to himself as he walked.  When he had passed by I peeped
  
out to see him and his light dwindle, reach the corner by the 
picture  
gallery, and fade into a reflection, a darkness.  
  
I took care to turn the key before I got back into bed.";1;0;0;0;0;0;1;0;0;0;0
"I woke again at seven, and, hurrying on my clothes, set off to 
tell  
Peace all about it.";0;1;0;0;0;1;0;0;0;0;0
"I took him to the place, and together we  
examined the corridor.  There were only two rooms beyond mine.  
The  
one on the left was occupied by Ransome; that on the right was a  
large store-room, the door of which was locked.  The housekeeper 
kept  
the key, we learned upon inquiry.  Whom had Harbord followed?  The
  
problem was beyond me.  As for Inspector Peace, he did not indulge
 in  
verbal speculations.";1;0;0;0;0;0;1;0;0;0;0
"It was in the central hall that we encountered the secretary on 
his  
way to the breakfast-room.  The man looked nervous and depressed; 
he  
nodded to us and was passing on, when Peace stopped him.  
  
""Good-morning, Mr. Harbord,"" he said.  ""Can I have a word with 
you?""  
  
""Certainly, Inspector.  What is it?""  
  
""I have a favor to ask.  My assistant and myself have our hands 
full  
here.  If necessary, could you help us by running up to London 
and--""  
  
""For the day?"" he interrupted.  
  
""No.  It may be an affair of three or four days.""  
  
""Then I must refuse.  I am sorry, but--""  
  
""Don't apologize, Mr. Harbord,"" said the little man, cheerfully.  
""I  
shall have to find some one else, that is all."" ";1;0;0;0;0;0;1;0;0;0;0
